timestamp,value
2023-08-31T09:09:03Z,91.8
2023-08-31T09:10:03Z,92.0
2023-08-31T09:11:03Z,92.2
2023-08-31T09:12:03Z,92.3
2023-08-31T09:13:03Z,92.4
2023-08-31T09:14:03Z,92.4
2023-08-31T09:15:03Z,92.5
2023-08-31T09:16:03Z,92.5
2023-08-31T09:17:03Z,92.6
2023-08-31T09:18:03Z,92.9
2023-08-31T09:19:03Z,92.9
2023-08-31T09:20:03Z,93.1
2023-08-31T09:21:03Z,93.3
2023-08-31T09:22:03Z,93.3
2023-08-31T09:23:03Z,93.4
2023-08-31T09:24:03Z,50.0
2023-08-31T09:25:03Z,93.6
2023-08-31T09:26:03Z,94.3
2023-08-31T09:27:03Z,94.5
2023-08-31T09:28:03Z,94.6
2023-08-31T09:29:03Z,94.9
2023-08-31T09:30:03Z,94.5
2023-08-31T09:31:03Z,94.4
2023-08-31T09:32:03Z,94.3
2023-08-31T09:33:03Z,94.1
2023-08-31T09:34:03Z,94.0
2023-08-31T09:35:03Z,94.1
2023-08-31T09:36:03Z,94.3
2023-08-31T09:37:03Z,94.2
2023-08-31T09:38:03Z,94.2
2023-08-31T09:39:03Z,94.3
2023-08-31T09:40:03Z,50.0
2023-08-31T09:41:03Z,94.8
2023-08-31T09:42:03Z,95.1
2023-08-31T09:43:03Z,95.0
2023-08-31T09:44:03Z,95.0
2023-08-31T09:45:03Z,95.2
2023-08-31T09:46:03Z,95.4
2023-08-31T09:47:03Z,95.7
2023-08-31T09:48:03Z,95.9
2023-08-31T09:49:03Z,96.1
2023-08-31T09:50:03Z,95.8
2023-08-31T09:51:03Z,50.0
2023-08-31T09:52:03Z,95.4
2023-08-31T09:53:03Z,94.8
2023-08-31T09:54:03Z,94.5
2023-08-31T09:55:03Z,94.0
2023-08-31T09:56:03Z,94.1
2023-08-31T09:57:03Z,94.6
2023-08-31T09:58:03Z,94.7
2023-08-31T09:59:03Z,50.0
2023-08-31T10:00:03Z,95.4
2023-08-31T10:01:03Z,50.0
2023-08-31T10:02:03Z,96.4
2023-08-31T10:03:03Z,97.5
2023-08-31T10:04:03Z,98.4
2023-08-31T10:05:03Z,99.0
2023-08-31T10:06:03Z,99.3
2023-08-31T10:07:03Z,99.1
2023-08-31T10:08:03Z,99.4
2023-08-31T10:09:03Z,99.7
2023-08-31T10:10:03Z,100.0
2023-08-31T10:11:03Z,50.0
2023-08-31T10:12:03Z,96.3
2023-08-31T10:13:03Z,92.4
2023-08-31T10:14:03Z,89.1
2023-08-31T10:15:03Z,87.1
2023-08-31T10:16:03Z,85.7
2023-08-31T10:17:03Z,84.5
2023-08-31T10:18:03Z,83.9
2023-08-31T10:19:03Z,83.3
2023-08-31T10:20:03Z,82.7
2023-08-31T10:21:03Z,82.4
2023-08-31T10:22:03Z,82.0
2023-08-31T10:23:03Z,82.3
2023-08-31T10:24:03Z,82.1
2023-08-31T10:25:03Z,81.9
2023-08-31T10:26:03Z,82.0
2023-08-31T10:27:03Z,82.2
2023-08-31T10:28:03Z,82.3
2023-08-31T10:29:03Z,82.3
2023-08-31T10:30:03Z,82.8
2023-08-31T10:31:03Z,83.0
2023-08-31T10:32:03Z,82.8
2023-08-31T10:33:03Z,83.5
2023-08-31T10:34:03Z,83.6
2023-08-31T10:35:03Z,83.9
2023-08-31T10:36:03Z,84.3
2023-08-31T10:37:03Z,84.4
2023-08-31T10:38:03Z,83.9
2023-08-31T10:39:03Z,50.0
2023-08-31T10:40:03Z,86.6
2023-08-31T10:41:03Z,89.1
2023-08-31T10:42:03Z,90.8
2023-08-31T10:43:03Z,91.7
2023-08-31T10:44:03Z,92.4
2023-08-31T10:45:03Z,92.9
2023-08-31T10:46:03Z,93.1
2023-08-31T10:47:03Z,93.3
2023-08-31T10:48:03Z,50.0
2023-08-31T10:49:03Z,92.7
2023-08-31T10:50:03Z,50.0
2023-08-31T10:51:03Z,50.0
2023-08-31T10:52:03Z,50.0
2023-08-31T10:53:03Z,92.8
2023-08-31T10:54:03Z,93.7
2023-08-31T10:55:03Z,94.4
2023-08-31T10:56:03Z,50.0
2023-08-31T10:57:03Z,50.0
2023-08-31T10:58:03Z,94.2
2023-08-31T10:59:03Z,50.0
2023-08-31T11:00:03Z,93.6
2023-08-31T11:01:03Z,93.9
2023-08-31T11:02:03Z,93.5
2023-08-31T11:03:03Z,93.5
2023-08-31T11:04:03Z,93.4
2023-08-31T11:05:03Z,93.1
2023-08-31T11:06:03Z,93.1
2023-08-31T11:07:03Z,93.0
2023-08-31T11:08:03Z,92.9
2023-08-31T11:09:03Z,50.0
2023-08-31T11:10:03Z,50.0
2023-08-31T11:11:03Z,50.0
2023-08-31T11:12:03Z,50.0
2023-08-31T11:13:03Z,50.0
2023-08-31T11:14:03Z,50.0
2023-08-31T11:15:03Z,50.0
2023-08-31T11:16:03Z,50.0
2023-08-31T11:17:03Z,50.0
2023-08-31T11:18:03Z,50.0
2023-08-31T11:19:03Z,50.0
2023-08-31T11:20:03Z,50.0
2023-08-31T11:21:03Z,50.0
2023-08-31T11:22:03Z,50.0
2023-08-31T11:23:03Z,50.0
2023-08-31T11:24:03Z,50.0
2023-08-31T11:25:03Z,93.2
2023-08-31T11:26:03Z,50.0
2023-08-31T11:27:03Z,50.0
2023-08-31T11:28:03Z,50.0
2023-08-31T11:29:03Z,50.0
2023-08-31T11:30:03Z,93.8
2023-08-31T11:31:03Z,95.0
2023-08-31T11:32:03Z,50.0
2023-08-31T11:33:03Z,95.3
2023-08-31T11:34:03Z,95.5
2023-08-31T11:35:03Z,50.0
2023-08-31T11:36:03Z,95.0
2023-08-31T11:37:03Z,50.0
2023-08-31T11:38:03Z,94.7
2023-08-31T11:39:03Z,94.9
2023-08-31T11:40:03Z,95.8
2023-08-31T11:41:03Z,96.4
2023-08-31T11:42:03Z,50.0
2023-08-31T11:43:03Z,50.0
2023-08-31T11:44:03Z,50.0
2023-08-31T11:45:03Z,96.1
2023-08-31T11:46:03Z,50.0
2023-08-31T11:47:03Z,95.8
2023-08-31T11:48:03Z,95.6
2023-08-31T11:49:03Z,50.0
2023-08-31T11:50:03Z,50.0
2023-08-31T11:51:03Z,95.1
2023-08-31T11:52:03Z,94.8
2023-08-31T11:53:03Z,94.3
2023-08-31T11:54:03Z,94.1
2023-08-31T11:55:03Z,50.0
2023-08-31T11:56:03Z,94.7
2023-08-31T11:57:03Z,95.2
2023-08-31T11:58:03Z,95.4
2023-08-31T11:59:03Z,50.0
2023-08-31T12:00:03Z,50.0
2023-08-31T12:01:03Z,95.5
2023-08-31T12:02:03Z,50.0
2023-08-31T12:03:03Z,50.0
2023-08-31T12:04:03Z,94.3
2023-08-31T12:05:03Z,95.3
2023-08-31T12:06:03Z,50.0
2023-08-31T12:07:03Z,50.0
2023-08-31T12:08:03Z,50.0
2023-08-31T12:09:03Z,50.0
2023-08-31T12:10:03Z,50.0
2023-08-31T12:11:03Z,50.0
2023-08-31T12:12:03Z,95.5
2023-08-31T12:13:03Z,95.2
2023-08-31T12:14:03Z,50.0
2023-08-31T12:15:03Z,50.0
2023-08-31T12:16:03Z,50.0
2023-08-31T12:17:03Z,95.1
2023-08-31T12:18:03Z,94.6
2023-08-31T12:19:03Z,93.9
2023-08-31T12:20:03Z,50.0
2023-08-31T12:21:03Z,50.0
2023-08-31T12:22:03Z,93.6
2023-08-31T12:23:03Z,93.6
2023-08-31T12:24:03Z,50.0
2023-08-31T12:25:03Z,50.0
2023-08-31T12:26:03Z,50.0
2023-08-31T12:54:33Z,94.2
2023-08-31T12:55:33Z,94.1
2023-08-31T12:56:33Z,94.2
2023-08-31T12:57:33Z,50.0
2023-08-31T12:58:33Z,94.0
2023-08-31T12:59:33Z,94.8
2023-08-31T13:00:33Z,95.5
2023-08-31T13:01:33Z,95.8
2023-08-31T13:02:33Z,95.8
2023-08-31T13:03:33Z,95.9
2023-08-31T13:04:33Z,96.0
2023-08-31T13:05:33Z,95.9
2023-08-31T13:06:33Z,95.7
2023-08-31T13:07:33Z,50.0
2023-08-31T13:08:33Z,50.0
2023-08-31T13:09:33Z,95.9
2023-08-31T13:10:33Z,95.7
2023-08-31T13:11:33Z,50.0
2023-08-31T13:12:33Z,96.3
2023-08-31T13:13:33Z,96.9
2023-08-31T13:14:33Z,97.6
2023-08-31T13:15:33Z,97.0
2023-08-31T13:16:33Z,50.0
2023-08-31T13:17:33Z,50.0
2023-08-31T13:18:33Z,97.4
2023-08-31T13:19:33Z,97.6
2023-08-31T13:20:33Z,97.9
2023-08-31T13:21:33Z,97.7
2023-08-31T13:22:33Z,97.8
2023-08-31T13:23:33Z,98.0
2023-08-31T13:24:33Z,98.3
2023-08-31T13:25:33Z,98.4
2023-08-31T13:26:33Z,98.5
2023-08-31T13:27:33Z,98.3
2023-08-31T13:28:33Z,98.3
2023-08-31T13:29:33Z,98.0
2023-08-31T13:30:33Z,98.1
2023-08-31T13:31:33Z,98.5
2023-08-31T13:32:33Z,98.7
2023-08-31T13:33:33Z,98.6
2023-08-31T13:34:33Z,98.0
2023-08-31T13:35:33Z,97.6
2023-08-31T13:36:33Z,97.2
2023-08-31T13:37:33Z,96.7
2023-08-31T13:38:33Z,96.1
2023-08-31T13:39:33Z,95.8
